household_key,age,incomeK,HHsize,kids,Month,transaction,amount,att
1,75,39,2,0,3,30,78.66,0
1,75,39,2,0,4,24,68,0
1,75,39,2,0,5,59,167.19,0
1,75,39,2,0,6,104,271.1,0
1,75,39,2,0,7,93,237.93,0
1,75,39,2,0,8,62,147.05,0
1,75,39,2,0,9,75,190.2,0
1,75,39,2,0,10,61,153.27,0
1,75,39,2,0,11,121,263.01,0
1,75,39,2,0,12,63,151.42,0
1,75,39,2,0,13,115,283.83,0
1,75,39,2,0,14,39,98.7,0
1,75,39,2,0,15,105,260.22,0
1,75,39,2,0,16,92,256.99,0
1,75,39,2,0,17,67,174.8,0
1,75,39,2,0,18,86,217.38,0
1,75,39,2,0,19,51,131.38,0
1,75,39,2,0,20,89,187.66,0
1,75,39,2,0,21,101,246.98,0
1,75,39,2,0,22,104,242.36,0
1,75,39,2,0,23,48,131.78,0
1,75,39,2,0,24,108,288.96,0
7,50,57,2,0,2,27,86.31,0
7,50,57,2,0,3,43,120.6,0
7,50,57,2,0,4,3,11.97,1
7,50,57,2,0,6,3,10.58,0
7,50,57,2,0,7,22,56.23,0
7,50,57,2,0,8,55,148.01,0
7,50,57,2,0,9,45,168.25,0
7,50,57,2,0,10,22,72.58,0
7,50,57,2,0,11,15,21.69,0
7,50,57,2,0,12,80,183.09,1
7,50,57,2,0,14,112,306.8,0
7,50,57,2,0,15,91,275.41,0
7,50,57,2,0,16,112,313.56,0
7,50,57,2,0,17,5,14.59,0
7,50,57,2,0,18,9,24.52,0
7,50,57,2,0,19,80,193.88,0
7,50,57,2,0,20,123,312.43,0
7,50,57,2,0,21,29,49.03,0
7,50,57,2,0,22,105,250.38,0
7,50,57,2,0,23,139,369.32,0
7,50,57,2,0,24,97,239.05,0
13,30,87,4,2,5,105,527.18,0
13,30,87,4,2,6,155,775.68,0
13,30,87,4,2,7,120,794.1,0
13,30,87,4,2,8,66,569.52,0
13,30,87,4,2,9,125,638.25,0
13,30,87,4,2,10,79,523.84,0
13,30,87,4,2,11,169,908.31,0
13,30,87,4,2,12,75,421.74,0
13,30,87,4,2,13,99,557.69,0
13,30,87,4,2,14,111,634.53,0
13,30,87,4,2,15,88,600.8,0
13,30,87,4,2,16,118,461.92,0
13,30,87,4,2,17,104,780.41,0
13,30,87,4,2,18,116,594.03,0
13,30,87,4,2,19,98,519.52,0
13,30,87,4,2,20,130,583.19,0
13,30,87,4,2,21,180,974.23,0
13,30,87,4,2,22,105,812.17,0
13,30,87,4,2,23,123,654.6,0
13,30,87,4,2,24,131,649.27,0
16,50,57,1,0,5,68,195.41,0
16,50,57,1,0,6,35,112.63,0
16,50,57,1,0,7,43,113.02,0
16,50,57,1,0,8,44,104.42,0
16,50,57,1,0,9,47,131.65,0
16,50,57,1,0,10,37,148.55,0
16,50,57,1,0,11,31,93.73,0
16,50,57,1,0,12,55,178.5,0
16,50,57,1,0,13,30,62.81,0
16,50,57,1,0,14,48,108.07,0
16,50,57,1,0,15,41,129.54,0
16,50,57,1,0,16,14,57.67,1
16,50,57,1,0,19,4,11.34,0
16,50,57,1,0,20,4,18.44,0
16,50,57,1,0,21,2,5.67,0
16,50,57,1,0,22,7,24.05,0
16,50,57,1,0,23,3,6.36,0
16,50,57,1,0,24,4,10.16,1
17,75,8,2,0,2,46,275.71,0
17,75,8,2,0,3,61,318.12,0
17,75,8,2,0,4,47,279.68,0
17,75,8,2,0,5,36,288.2,0
17,75,8,2,0,6,41,249.58,0
17,75,8,2,0,7,51,305.18,0
17,75,8,2,0,8,36,213.13,0
17,75,8,2,0,9,74,337.54,0
17,75,8,2,0,10,82,374.08,0
17,75,8,2,0,11,81,311.61,0
17,75,8,2,0,12,66,256.56,0
17,75,8,2,0,13,36,190.62,0
17,75,8,2,0,14,55,252.72,0
17,75,8,2,0,15,52,202.46,0
17,75,8,2,0,16,38,237.69,0
17,75,8,2,0,17,14,165.2,0
17,75,8,2,0,18,21,81.23,0
17,75,8,2,0,19,27,155.05,0
17,75,8,2,0,20,1,11,0
17,75,8,2,0,21,81,310.5,0
17,75,8,2,0,22,48,181.66,0
17,75,8,2,0,23,36,118.52,0
17,75,8,2,0,24,2,23.59,1
18,50,112,2,0,5,44,139.72,0
18,50,112,2,0,6,117,345.03,0
18,50,112,2,0,7,69,286.29,0
18,50,112,2,0,8,70,260.76,0
18,50,112,2,0,9,88,353.62,0
18,50,112,2,0,10,156,511.57,0
18,50,112,2,0,11,108,400.79,0
18,50,112,2,0,12,39,113.54,0
18,50,112,2,0,13,91,287.44,0
18,50,112,2,0,14,99,314.55,0
18,50,112,2,0,15,100,307.76,0
18,50,112,2,0,16,169,620.58,0
18,50,112,2,0,17,37,151.65,0
18,50,112,2,0,18,78,322.71,0
18,50,112,2,0,19,73,264.47,0
18,50,112,2,0,20,142,536.46,0
18,50,112,2,0,21,63,300.53,0
18,50,112,2,0,22,115,481.66,0
18,50,112,2,0,23,80,492.48,0
18,50,112,2,0,24,92,418.46,0
20,30,87,2,0,4,3,9.65,0
20,30,87,2,0,5,26,68.79,1
20,30,87,2,0,8,39,126,0
20,30,87,2,0,9,116,383.95,0
20,30,87,2,0,10,123,395.37,0
20,30,87,2,0,11,108,379.77,0
20,30,87,2,0,12,146,503.16,0
20,30,87,2,0,13,138,401.45,0
20,30,87,2,0,14,145,555.29,0
20,30,87,2,0,15,141,492.17,0
20,30,87,2,0,16,144,557.77,0
20,30,87,2,0,17,100,368.86,0
20,30,87,2,0,18,161,629.45,0
20,30,87,2,0,19,105,482,0
20,30,87,2,0,20,111,380.49,0
20,30,87,2,0,21,80,355.93,0
20,30,87,2,0,22,92,327.5,0
20,30,87,2,0,23,95,397.46,0
20,30,87,2,0,24,130,471.45,0
22,50,87,2,0,2,29,80.76,0
22,50,87,2,0,3,72,217.84,0
22,50,87,2,0,4,53,287.47,0
22,50,87,2,0,5,59,243.47,0
22,50,87,2,0,6,73,299.48,0
22,50,87,2,0,7,30,110.35,0
22,50,87,2,0,8,75,302.47,0
22,50,87,2,0,9,102,304.66,0
22,50,87,2,0,10,68,214.72,0
22,50,87,2,0,11,45,179.49,0
22,50,87,2,0,12,69,242.69,0
22,50,87,2,0,13,75,233.28,0
22,50,87,2,0,14,91,287.36,0
22,50,87,2,0,15,49,157.12,0
22,50,87,2,0,16,74,369.87,0
22,50,87,2,0,17,52,214.69,0
22,50,87,2,0,18,67,339.52,0
22,50,87,2,0,19,61,252.9,0
22,50,87,2,0,20,87,327.23,0
22,50,87,2,0,21,99,405.64,0
22,50,87,2,0,22,76,335.56,0
22,50,87,2,0,23,114,479.21,0
22,50,87,2,0,24,75,231.21,0
27,50,29,1,0,3,34,64.1,0
27,50,29,1,0,4,27,55.84,0
27,50,29,1,0,5,20,37.73,0
27,50,29,1,0,6,25,60.22,0
27,50,29,1,0,7,20,62.27,0
27,50,29,1,0,8,2,5.49,0
27,50,29,1,0,9,6,11.54,0
27,50,29,1,0,10,109,228.89,0
27,50,29,1,0,11,187,459.48,0
27,50,29,1,0,12,129,332.86,0
27,50,29,1,0,13,212,543.58,0
27,50,29,1,0,14,154,388.67,0
27,50,29,1,0,15,141,303.6,0
27,50,29,1,0,16,138,282.17,0
27,50,29,1,0,17,151,334.07,0
27,50,29,1,0,18,215,450.82,0
27,50,29,1,0,19,167,372.22,0
27,50,29,1,0,20,102,254.94,0
27,50,29,1,0,21,181,420.9,0
27,50,29,1,0,22,141,304.79,0
27,50,29,1,0,23,121,262.81,0
27,50,29,1,0,24,154,346.98,0
31,40,39,2,0,5,24,75.39,0
31,40,39,2,0,6,55,188.3,1
31,40,39,2,0,9,58,198.74,0
31,40,39,2,0,10,12,89.46,0
31,40,39,2,0,11,1,38.25,0
31,40,39,2,0,12,1,35,1
31,40,39,2,0,14,60,260.87,0
31,40,39,2,0,15,41,135.69,0
31,40,39,2,0,16,31,80.17,0
31,40,39,2,0,17,66,212.05,0
31,40,39,2,0,18,140,564.65,0
31,40,39,2,0,19,37,213.5,0
31,40,39,2,0,20,108,344.03,0
31,40,39,2,0,21,108,395.77,0
31,40,39,2,0,22,99,444.37,0
31,40,39,2,0,23,74,346.45,0
31,40,39,2,0,24,91,420.21,0
39,40,137,2,0,2,137,348.74,0
39,40,137,2,0,3,53,126.12,0
39,40,137,2,0,4,132,349.38,0
39,40,137,2,0,5,137,357.09,0
39,40,137,2,0,6,131,412.75,0
39,40,137,2,0,7,107,299.3,0
39,40,137,2,0,8,82,234.83,0
39,40,137,2,0,9,60,157.27,0
39,40,137,2,0,10,86,272.98,0
39,40,137,2,0,11,80,233.77,0
39,40,137,2,0,12,33,83.2,0
39,40,137,2,0,13,51,133.58,0
39,40,137,2,0,14,65,184.48,0
39,40,137,2,0,15,64,177.32,0
39,40,137,2,0,16,45,116.77,1
39,40,137,2,0,18,65,180.59,0
39,40,137,2,0,19,98,233.7,0
39,40,137,2,0,20,112,273.19,0
39,40,137,2,0,21,79,207.54,0
39,40,137,2,0,22,63,159.99,0
39,40,137,2,0,23,97,270.9,0
39,40,137,2,0,24,82,220.17,1
40,50,8,2,0,4,18,54.2,0
40,50,8,2,0,5,177,478.41,0
40,50,8,2,0,6,210,675.89,0
40,50,8,2,0,7,198,504.29,0
40,50,8,2,0,8,200,565.26,0
40,50,8,2,0,9,230,686.69,0
40,50,8,2,0,10,170,505.76,0
40,50,8,2,0,11,175,545.38,0
40,50,8,2,0,12,157,552.62,0
